epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1532.3,0.7467,0.58961,0.94103,0.83051,0.76955,0.84297,0.68045,0.76133,0.61339,0.93851,0.000447796,0.000447796,0.000447796
43,1570.14,0.74572,0.58647,0.93727,0.83683,0.75734,0.84365,0.6847,0.76049,0.6228,0.93351,0.000436547,0.000436547,0.000436547
44,1608.02,0.74617,0.59025,0.94193,0.81457,0.78634,0.84512,0.68604,0.75155,0.60548,0.93637,0.000425298,0.000425298,0.000425298
45,1646,0.73634,0.57592,0.93821,0.82069,0.75924,0.83502,0.67335,0.76408,0.62956,0.93812,0.000414049,0.000414049,0.000414049
46,1684.16,0.73783,0.57902,0.93748,0.82359,0.77748,0.84661,0.67922,0.75707,0.61864,0.93338,0.000402801,0.000402801,0.000402801
47,1721.78,0.72997,0.5707,0.93295,0.80393,0.78517,0.84713,0.68556,0.75338,0.60861,0.93442,0.000391552,0.000391552,0.000391552
48,1759.33,0.72637,0.56368,0.93454,0.80402,0.78102,0.85182,0.68788,0.75352,0.60823,0.932,0.000380303,0.000380303,0.000380303
49,1797.37,0.72896,0.56113,0.93382,0.82821,0.7811,0.85276,0.68926,0.75077,0.59935,0.92938,0.000369054,0.000369054,0.000369054
50,1832.6,0.72126,0.55769,0.93088,0.80977,0.80055,0.84814,0.68659,0.7539,0.60589,0.93295,0.000357805,0.000357805,0.000357805
51,1866.23,0.72391,0.55469,0.92951,0.81706,0.79973,0.8544,0.69168,0.75542,0.59826,0.9329,0.000346556,0.000346556,0.000346556
52,1900.1,0.7169,0.55104,0.92638,0.83765,0.76827,0.85077,0.68761,0.75226,0.60099,0.93352,0.000335307,0.000335307,0.000335307
53,1934.44,0.71264,0.54948,0.92715,0.84806,0.77657,0.85001,0.68904,0.75016,0.5915,0.93159,0.000324058,0.000324058,0.000324058
54,1972.51,0.71861,0.54994,0.9276,0.82409,0.78442,0.85001,0.6897,0.74897,0.59751,0.92726,0.00031281,0.00031281,0.00031281
55,2010.32,0.71467,0.54039,0.92468,0.83833,0.78562,0.84639,0.68858,0.73924,0.59164,0.92698,0.000301561,0.000301561,0.000301561
56,2045.74,0.70754,0.5369,0.92519,0.83302,0.78907,0.85424,0.69287,0.74414,0.58991,0.92764,0.000290312,0.000290312,0.000290312
57,2079.06,0.70442,0.53021,0.92082,0.83137,0.7872,0.85219,0.69241,0.74643,0.59084,0.92895,0.000279063,0.000279063,0.000279063
58,2117.48,0.6992,0.52537,0.92098,0.84351,0.77939,0.85076,0.69182,0.74089,0.58901,0.92646,0.000267814,0.000267814,0.000267814
59,2154.4,0.69854,0.52655,0.91954,0.82228,0.77722,0.84717,0.68533,0.74552,0.5965,0.93097,0.000256565,0.000256565,0.000256565
60,2191.74,0.69678,0.52107,0.92055,0.84532,0.76394,0.84763,0.68646,0.7433,0.59038,0.92379,0.000245316,0.000245316,0.000245316
61,2230.22,0.69396,0.5192,0.91676,0.80782,0.79785,0.84859,0.68825,0.74131,0.59389,0.9272,0.000234068,0.000234068,0.000234068
62,2267.81,0.69275,0.51454,0.91872,0.83151,0.78852,0.85512,0.69321,0.74189,0.59403,0.92636,0.000222819,0.000222819,0.000222819
63,2303.44,0.6894,0.51313,0.91617,0.84009,0.79179,0.85323,0.69495,0.73543,0.58404,0.92432,0.00021157,0.00021157,0.00021157
64,2337.06,0.68451,0.50965,0.91719,0.84857,0.77749,0.84954,0.68987,0.74027,0.58379,0.92629,0.000200321,0.000200321,0.000200321
